timestamp,Electricity (kWh)
2022-03-09 06:29:37.000000 +00:00,82905.4357
2022-03-09 06:24:17.000000 +00:00,82904.3949
2022-03-09 06:19:17.000000 +00:00,82903.3804
2022-03-09 06:13:35.000000 +00:00,82902.3585
2022-03-09 05:43:31.000000 +00:00,82901.3398
2022-03-09 04:36:23.000000 +00:00,82900.3386
2022-03-09 03:21:56.000000 +00:00,82899.3311
2022-03-09 02:11:06.000000 +00:00,82898.3287
2022-03-09 01:19:20.000000 +00:00,82897.325
2022-03-09 00:07:12.000000 +00:00,82896.3208
2022-03-08 22:51:23.000000 +00:00,82895.32
2022-03-08 21:40:35.000000 +00:00,82894.3196
2022-03-08 20:52:29.000000 +00:00,82893.3182
2022-03-08 20:28:25.000000 +00:00,82892.30900000001
2022-03-08 20:03:23.000000 +00:00,82891.3052
2022-03-08 19:39:19.000000 +00:00,82890.3002
2022-03-08 19:16:17.000000 +00:00,82889.2991
2022-03-08 18:55:14.000000 +00:00,82888.2746
2022-03-08 18:34:12.000000 +00:00,82887.2452
2022-03-08 18:18:50.000000 +00:00,82886.2429
2022-03-08 18:03:08.000000 +00:00,82885.2204
2022-03-08 17:49:06.000000 +00:00,82884.2176
2022-03-08 17:33:04.000000 +00:00,82883.2154
2022-03-08 17:17:22.000000 +00:00,82882.1963
2022-03-08 13:18:15.000000 +00:00,82860.6821
2022-03-08 13:08:53.000000 +00:00,82859.6476
2022-03-08 12:59:31.000000 +00:00,82858.6177
2022-03-08 12:50:31.000000 +00:00,82857.5828
2022-03-08 12:41:49.000000 +00:00,82856.5573
2022-03-08 12:33:09.000000 +00:00,82855.5437
2022-03-08 12:24:47.000000 +00:00,82854.5384
2022-03-08 12:18:47.000000 +00:00,82853.5088
2022-03-08 12:13:47.000000 +00:00,82852.4665
2022-03-08 12:09:05.000000 +00:00,82851.4227
2022-03-08 12:04:45.000000 +00:00,82850.391
2022-03-08 11:57:45.000000 +00:00,82849.3553
2022-03-08 11:49:23.000000 +00:00,82848.3306
2022-03-08 11:42:23.000000 +00:00,82847.3056
2022-03-08 11:37:21.000000 +00:00,82846.2833
2022-03-08 11:30:21.000000 +00:00,82845.2695
2022-03-08 11:25:01.000000 +00:00,82844.2542
2022-03-08 11:15:59.000000 +00:00,82843.229
2022-03-08 11:09:39.000000 +00:00,82842.2008
2022-03-08 11:03:37.000000 +00:00,82841.1309
2022-03-08 10:59:17.000000 +00:00,82840.0254
2022-03-08 10:54:17.000000 +00:00,82838.9218
2022-03-08 10:48:15.000000 +00:00,82837.8325
2022-03-08 10:42:15.000000 +00:00,82836.828
2022-03-08 10:33:33.000000 +00:00,82835.80099999999
2022-03-08 10:26:53.000000 +00:00,82834.7405
2022-03-08 10:21:13.000000 +00:00,82833.7056
2022-03-08 10:15:52.000000 +00:00,82832.6785
2022-03-08 10:11:11.000000 +00:00,82831.665
2022-03-08 10:02:12.000000 +00:00,82830.6391
2022-03-08 09:56:50.000000 +00:00,82829.58099999999
2022-03-08 09:50:10.000000 +00:00,82828.4583
2022-03-08 09:41:28.000000 +00:00,82827.454
2022-03-08 09:32:28.000000 +00:00,82826.3885
2022-03-08 09:26:46.000000 +00:00,82825.3868
2022-03-08 09:17:46.000000 +00:00,82824.3622
2022-03-08 09:09:04.000000 +00:00,82823.3554
2022-03-08 09:00:24.000000 +00:00,82822.3445
2022-03-08 08:51:42.000000 +00:00,82821.3329
2022-03-08 08:41:02.000000 +00:00,82820.2503
2022-03-08 08:31:40.000000 +00:00,82819.2165
2022-03-08 08:23:18.000000 +00:00,82818.1983
2022-03-08 08:14:38.000000 +00:00,82817.1629
2022-03-08 08:05:56.000000 +00:00,82816.1542
2022-03-08 07:57:36.000000 +00:00,82815.1205
2022-03-08 07:51:14.000000 +00:00,82814.0689
2022-03-08 07:47:14.000000 +00:00,82813.0513
2022-03-08 07:39:54.000000 +00:00,82811.9625
2022-03-08 07:29:32.000000 +00:00,82810.9297
2022-03-08 07:18:30.000000 +00:00,82809.9147
2022-03-08 07:05:30.000000 +00:00,82808.9113
2022-03-08 06:47:48.000000 +00:00,82807.9044
2022-03-08 06:39:26.000000 +00:00,82806.8801
2022-03-08 06:28:44.000000 +00:00,82805.8416
2022-03-08 06:17:24.000000 +00:00,82804.8334
2022-03-08 06:01:22.000000 +00:00,82803.7773
2022-03-08 05:38:19.000000 +00:00,82802.7739
2022-03-08 04:49:53.000000 +00:00,82801.766
2022-03-08 03:55:07.000000 +00:00,82800.7009
2022-03-08 02:56:19.000000 +00:00,82799.6702
2022-03-08 01:59:53.000000 +00:00,82798.6694
2022-03-08 01:07:28.000000 +00:00,82797.6673
2022-03-08 00:06:40.000000 +00:00,82796.6166
2022-03-07 23:13:12.000000 +00:00,82795.6147
2022-03-07 22:15:46.000000 +00:00,82794.6069
2022-03-07 21:22:00.000000 +00:00,82793.6024
2022-03-07 20:30:53.000000 +00:00,82792.5991
2022-03-07 19:47:49.000000 +00:00,82791.5943
2022-03-07 19:03:43.000000 +00:00,82790.5887
2022-03-07 18:27:59.000000 +00:00,82789.5846
2022-03-07 18:07:57.000000 +00:00,82788.5813
2022-03-07 17:46:53.000000 +00:00,82787.572
2022-03-07 17:29:11.000000 +00:00,82786.5593
2022-03-07 17:00:47.000000 +00:00,82785.549
2022-03-07 16:35:26.000000 +00:00,82784.5377
2022-03-07 16:14:24.000000 +00:00,82783.5348
2022-03-07 15:56:00.000000 +00:00,82782.5247
2022-03-07 15:41:20.000000 +00:00,82781.5223
2022-03-07 15:29:38.000000 +00:00,82780.5105
2022-03-07 15:16:16.000000 +00:00,82779.48599999999
2022-03-07 15:03:54.000000 +00:00,82778.4678
2022-03-07 14:53:34.000000 +00:00,82777.4634
2022-03-07 14:42:32.000000 +00:00,82776.4364
2022-03-07 14:31:50.000000 +00:00,82775.4197
2022-03-07 14:20:50.000000 +00:00,82774.4039
2022-03-07 14:10:48.000000 +00:00,82773.3726
2022-03-07 14:01:46.000000 +00:00,82772.3601
2022-03-07 13:51:46.000000 +00:00,82771.3146
2022-03-07 13:42:04.000000 +00:00,82770.2668
2022-03-07 13:32:44.000000 +00:00,82769.2587
2022-03-07 13:23:02.000000 +00:00,82768.2502
2022-03-07 13:13:40.000000 +00:00,82767.2226
2022-03-07 13:09:00.000000 +00:00,82766.1071
2022-03-07 13:00:40.000000 +00:00,82765.0722
2022-03-07 12:52:58.000000 +00:00,82764.0581
2022-03-07 12:47:39.000000 +00:00,82763.0456
2022-03-07 12:37:36.000000 +00:00,82761.9596
2022-03-07 12:32:16.000000 +00:00,82760.9218
2022-03-07 12:25:34.000000 +00:00,82759.9054
2022-03-07 12:19:35.000000 +00:00,82758.8188
2022-03-07 12:14:35.000000 +00:00,82757.7846
2022-03-07 12:06:33.000000 +00:00,82756.6779
2022-03-07 11:56:53.000000 +00:00,82755.6172
2022-03-07 11:47:31.000000 +00:00,82754.6137
2022-03-07 11:41:51.000000 +00:00,82753.5974
2022-03-07 11:33:09.000000 +00:00,82752.5654
2022-03-07 11:28:09.000000 +00:00,82751.4887
2022-03-07 11:20:27.000000 +00:00,82750.4826
2022-03-07 11:13:07.000000 +00:00,82749.4468
2022-03-07 11:04:45.000000 +00:00,82748.4451
2022-03-07 10:56:45.000000 +00:00,82747.4191
2022-03-07 10:48:23.000000 +00:00,82746.4096
2022-03-07 10:41:43.000000 +00:00,82745.3968
2022-03-07 10:33:23.000000 +00:00,82744.385
2022-03-07 10:25:21.000000 +00:00,82743.3465
2022-03-07 10:18:21.000000 +00:00,82742.3159
2022-03-07 10:12:39.000000 +00:00,82741.2973
2022-03-07 10:06:19.000000 +00:00,82740.2042
2022-03-07 09:57:37.000000 +00:00,82739.1934
2022-03-07 09:53:17.000000 +00:00,82738.143
2022-03-07 09:47:17.000000 +00:00,82737.1183
2022-03-07 09:42:15.000000 +00:00,82736.0969
2022-03-07 09:36:15.000000 +00:00,82735.0941
2022-03-07 09:30:35.000000 +00:00,82734.0629
2022-03-07 09:24:13.000000 +00:00,82733.0289
2022-03-07 09:17:53.000000 +00:00,82732.0261
2022-03-07 09:09:31.000000 +00:00,82731.0019
2022-03-07 09:03:11.000000 +00:00,82730.0003
2022-03-07 08:55:09.000000 +00:00,82728.9909
2022-03-07 08:48:09.000000 +00:00,82727.9489
2022-03-07 08:40:09.000000 +00:00,82726.9273
2022-03-07 08:34:27.000000 +00:00,82725.8849
2022-03-07 08:25:07.000000 +00:00,82724.8504
2022-03-07 08:17:05.000000 +00:00,82723.8356
2022-03-07 08:09:05.000000 +00:00,82722.7651
