timestamp,Heat 2nd floor (kWh)
2020-03-03 21:27:49.000000 +00:00,481373.0
2020-03-03 21:14:52.000000 +00:00,481370.0
2020-03-03 21:01:52.000000 +00:00,481366.0
2020-03-03 20:48:49.000000 +00:00,481361.0
2020-03-03 20:35:43.000000 +00:00,481359.0
2020-03-03 20:22:35.000000 +00:00,481357.0
2020-03-03 20:09:23.000000 +00:00,481355.0
2020-03-03 19:56:14.000000 +00:00,481353.0
2020-03-03 19:43:08.000000 +00:00,481351.0
2020-03-03 19:30:05.000000 +00:00,481349.0
2020-03-03 19:17:05.000000 +00:00,481346.0
2020-03-03 19:04:07.000000 +00:00,481342.0
2020-03-03 18:51:13.000000 +00:00,481338.0
2020-03-03 18:38:22.000000 +00:00,481335.0
2020-03-03 18:25:34.000000 +00:00,481333.0
2020-03-03 18:12:48.000000 +00:00,481331.0
2020-03-03 18:00:06.000000 +00:00,481329.0
2020-03-03 17:47:27.000000 +00:00,481327.0
2020-03-03 17:34:51.000000 +00:00,481324.0
2020-03-03 17:22:18.000000 +00:00,481320.0
2020-03-03 17:09:48.000000 +00:00,481315.0
2020-03-03 16:57:20.000000 +00:00,481313.0
2020-03-03 16:44:56.000000 +00:00,481312.0
2020-03-03 16:32:29.000000 +00:00,481310.0
2020-03-03 16:19:59.000000 +00:00,481308.0
2020-03-03 16:07:26.000000 +00:00,481306.0
2020-03-03 15:54:50.000000 +00:00,481304.0
2020-03-03 15:42:11.000000 +00:00,481302.0
2020-03-03 15:29:30.000000 +00:00,481301.0
2020-03-03 15:16:45.000000 +00:00,481299.0
2020-03-03 15:03:57.000000 +00:00,481297.0
2020-03-03 14:51:06.000000 +00:00,481295.0
2020-03-03 14:38:12.000000 +00:00,481293.0
2020-03-03 14:25:15.000000 +00:00,481291.0
2020-03-03 14:12:16.000000 +00:00,481286.0
2020-03-03 14:00:51.000000 +00:00,481285.0
2020-03-03 13:49:24.000000 +00:00,481284.0
2020-03-03 13:32:58.000000 +00:00,481283.0
2020-03-03 13:19:47.000000 +00:00,481281.0
2020-03-03 13:06:38.000000 +00:00,481280.0
2020-03-03 12:53:32.000000 +00:00,481278.0
2020-03-03 12:40:28.000000 +00:00,481275.0
2020-03-03 12:27:28.000000 +00:00,481273.0
2020-03-03 12:14:31.000000 +00:00,481272.0
2020-03-03 12:01:37.000000 +00:00,481270.0
2020-03-03 11:48:45.000000 +00:00,481269.0
2020-03-03 11:37:33.000000 +00:00,481268.0
